jour;mois;jour_semaine;heure_jour;total;cuisine;buanderie;eauchaude;reste
01/07/2007;juillet2007;dimanche;0;2.493733333;0.006;0.073;1.032;1.382733333
01/07/2007;juillet2007;dimanche;1;0.990900008;0.449;0.043;0.094;0.404900008
01/07/2007;juillet2007;dimanche;2;0.789899995;0.514;0;0;0.275899995
01/07/2007;juillet2007;dimanche;3;0.287466664;0;0.008;0;0.279466664
01/07/2007;juillet2007;dimanche;4;0.51553333;0;0.073;0;0.44253333
01/07/2007;juillet2007;dimanche;5;0.491733334;0;0.04;0;0.451733334
01/07/2007;juillet2007;dimanche;6;0.435666666;0;0;0;0.435666666
01/07/2007;juillet2007;dimanche;7;0.442600002;0;0.009;0;0.433600002
01/07/2007;juillet2007;dimanche;8;0.523300004;0;0.072;0;0.451300004
01/07/2007;juillet2007;dimanche;9;0.909866664;0;0.036;0.388;0.485866664
01/07/2007;juillet2007;dimanche;10;1.310566668;0;0;0.709;0.601566668
01/07/2007;juillet2007;dimanche;11;1.298200007;0;0.016;1.05;0.232200007
01/07/2007;juillet2007;dimanche;12;0.510733329;0;0.07;0.232;0.208733329
01/07/2007;juillet2007;dimanche;13;0.243233336;0;0.037;0;0.206233336
01/07/2007;juillet2007;dimanche;14;0.359066665;0;0;0;0.359066665
01/07/2007;juillet2007;dimanche;15;0.364066663;0;0.016;0;0.348066663
01/07/2007;juillet2007;dimanche;16;0.313199999;0;0.071;0;0.242199999
01/07/2007;juillet2007;dimanche;17;0.273866667;0;0.041;0;0.232866667
01/07/2007;juillet2007;dimanche;18;0.950933332;0;0;0.413;0.537933332
01/07/2007;juillet2007;dimanche;19;0.619933334;0;0.01;0.163;0.446933334
01/07/2007;juillet2007;dimanche;20;0.6071;0;0.072;0;0.5351
01/07/2007;juillet2007;dimanche;21;0.903700002;0;0.048;0;0.855700002
01/07/2007;juillet2007;dimanche;22;1.053233332;0;0;0.41;0.643233332
01/07/2007;juillet2007;dimanche;23;0.422533335;0;0.001;0.199;0.222533335
02/07/2007;juillet2007;lundi;0;0.253499999;0;0.074;0;0.179499999
02/07/2007;juillet2007;lundi;1;0.218199999;0;0.051;0;0.167199999
02/07/2007;juillet2007;lundi;2;0.1717;0;0;0;0.1717
02/07/2007;juillet2007;lundi;3;0.187233332;0;0;0;0.187233332
02/07/2007;juillet2007;lundi;4;0.252066666;0;0.073;0;0.179066666
02/07/2007;juillet2007;lundi;5;0.232066667;0;0.051;0;0.181066667
02/07/2007;juillet2007;lundi;6;0.557800006;0;0;0.078;0.479800006
02/07/2007;juillet2007;lundi;7;1.363300004;0;0;1.06;0.303300004
02/07/2007;juillet2007;lundi;8;0.454033333;0;0.071;0.211;0.172033333
02/07/2007;juillet2007;lundi;9;0.213833333;0;0.046;0;0.167833333
02/07/2007;juillet2007;lundi;10;0.176166668;0;0;0;0.176166668
02/07/2007;juillet2007;lundi;11;0.1942;0;0.005;0;0.1892
02/07/2007;juillet2007;lundi;12;0.2434;0;0.073;0;0.1704
02/07/2007;juillet2007;lundi;13;0.210666667;0;0.046;0;0.164666667
02/07/2007;juillet2007;lundi;14;0.163833334;0;0;0;0.163833334
02/07/2007;juillet2007;lundi;15;0.192500001;0;0.003;0;0.189500001
02/07/2007;juillet2007;lundi;16;0.756133334;0;0.074;0.495;0.187133334
02/07/2007;juillet2007;lundi;17;0.372133333;0;0.05;0.141;0.181133333
02/07/2007;juillet2007;lundi;18;0.1961;0;0;0;0.1961
02/07/2007;juillet2007;lundi;19;0.682033339;0;0.421;0;0.261033339
02/07/2007;juillet2007;lundi;20;2.082200003;0;1.486;0;0.596200003
02/07/2007;juillet2007;lundi;21;2.666700004;0.439;1.069;0.282;0.876700004
02/07/2007;juillet2007;lundi;22;3.105666671;0.073;1.414;1.063;0.555666671
02/07/2007;juillet2007;lundi;23;1.171733337;0.506;0.274;0.115;0.276733337
03/07/2007;juillet2007;mardi;0;0.505633335;0;0.036;0;0.469633335
03/07/2007;juillet2007;mardi;1;0.336199998;0;0.032;0;0.304199998
03/07/2007;juillet2007;mardi;2;0.305733335;0;0.081;0;0.224733335
03/07/2007;juillet2007;mardi;3;0.281199999;0;0.056;0;0.225199999
03/07/2007;juillet2007;mardi;4;0.250166668;0;0.01;0;0.240166668
03/07/2007;juillet2007;mardi;5;0.272133335;0;0.023;0;0.249133335
03/07/2007;juillet2007;mardi;6;0.310133334;0;0.077;0;0.233133334
03/07/2007;juillet2007;mardi;7;2.076799997;0;0.042;1.015;1.019799997
03/07/2007;juillet2007;mardi;8;1.308899999;0;0;1.06;0.248899999
03/07/2007;juillet2007;mardi;9;1.253499999;0;0.015;1.008;0.230499999
03/07/2007;juillet2007;mardi;10;0.302700001;0;0.071;0;0.231700001
03/07/2007;juillet2007;mardi;11;0.267133334;0;0.037;0;0.230133334
03/07/2007;juillet2007;mardi;12;0.233933335;0;0;0;0.233933335
03/07/2007;juillet2007;mardi;13;0.240966669;0;0.017;0;0.223966669
03/07/2007;juillet2007;mardi;14;0.290400001;0;0.07;0;0.220400001
03/07/2007;juillet2007;mardi;15;0.258066669;0;0.039;0;0.219066669
03/07/2007;juillet2007;mardi;16;0.229700001;0;0;0;0.229700001
03/07/2007;juillet2007;mardi;17;0.262766669;0;0.015;0;0.247766669
03/07/2007;juillet2007;mardi;18;0.850800001;0;0.071;0.542;0.237800001
03/07/2007;juillet2007;mardi;19;0.599033331;0;0.04;0.053;0.506033331
03/07/2007;juillet2007;mardi;20;0.668866663;0;0;0;0.668866663
03/07/2007;juillet2007;mardi;21;1.358866668;0;0.44;0;0.918866668
03/07/2007;juillet2007;mardi;22;3.948633339;0.011;1.781;0.83;1.326633339
03/07/2007;juillet2007;mardi;23;1.252933336;0.456;0.261;0.187;0.348933336
04/07/2007;juillet2007;mercredi;0;0.822433336;0.508;0.064;0;0.250433336
04/07/2007;juillet2007;mercredi;1;0.228966667;0;0.01;0;0.218966667
04/07/2007;juillet2007;mercredi;2;0.265000001;0;0.053;0;0.212000001
04/07/2007;juillet2007;mercredi;3;0.306066665;0;0.082;0;0.224066665
04/07/2007;juillet2007;mercredi;4;0.247766665;0;0.03;0;0.217766665
04/07/2007;juillet2007;mercredi;5;0.231433332;0;0.01;0;0.221433332
04/07/2007;juillet2007;mercredi;6;0.669666669;0;0.064;0.077;0.528666669
04/07/2007;juillet2007;mercredi;7;2.787866658;0;1.245;1.038;0.504866658
04/07/2007;juillet2007;mercredi;8;1.319266675;0;0.034;1.052;0.233266675
04/07/2007;juillet2007;mercredi;9;1.261766674;0;0;1.049;0.212766674
04/07/2007;juillet2007;mercredi;10;0.407899997;0;0.029;0.177;0.201899997
04/07/2007;juillet2007;mercredi;11;0.277766667;0;0.069;0;0.208766667
04/07/2007;juillet2007;mercredi;12;0.245100001;0;0.024;0;0.221100001
04/07/2007;juillet2007;mercredi;13;0.210366669;0;0;0;0.210366669
04/07/2007;juillet2007;mercredi;14;0.245066667;0;0.033;0;0.212066667
04/07/2007;juillet2007;mercredi;15;0.285133331;0;0.069;0;0.216133331
04/07/2007;juillet2007;mercredi;16;0.217133334;0;0.015;0;0.202133334
04/07/2007;juillet2007;mercredi;17;0.202299999;0;0;0;0.202299999
04/07/2007;juillet2007;mercredi;18;0.828333329;0.473;0.043;0.003;0.309333329
04/07/2007;juillet2007;mercredi;19;2.525133332;1.063;0.072;1.066;0.324133332
04/07/2007;juillet2007;mercredi;20;1.010666667;0.229;0.069;0.404;0.308666667
04/07/2007;juillet2007;mercredi;21;0.402166674;0.027;0.068;0;0.307166674
04/07/2007;juillet2007;mercredi;22;0.388833341;0.028;0.067;0;0.293833341
04/07/2007;juillet2007;mercredi;23;1.337366667;0.001;0.068;0.766;0.502366667
05/07/2007;juillet2007;jeudi;0;0.340500001;0;0.067;0;0.273500001
05/07/2007;juillet2007;jeudi;1;0.317233335;0;0.066;0;0.251233335
05/07/2007;juillet2007;jeudi;2;0.276266668;0;0.031;0;0.245266668
05/07/2007;juillet2007;jeudi;3;0.234700001;0;0;0;0.234700001
05/07/2007;juillet2007;jeudi;4;0.239900002;0;0;0;0.239900002
